AGENCY,DATE,DESTINATION,PAX,TYPE,COST,STATUS
THUMPS UP,02/29/2023,EN - PPC,7,PRIVATE,5500,
THUMPS UP,02/29/2023,PPC - EN,3,SHARED,1500,
THUMPS UP,02/29/2023,EN - PPC,3,SHARED,1500,
THUMPS UP,02/29/2023,PPC - EN,3,SHARED,1500,
THUMPS UP,02/29/2023,EN - PPC,3,SHARED,1500,
THUMPS UP,02/29/2023,DROP OFF AIRPORT,12,PRIVATE,1000,
THUMPS UP,02/29/2023,PPC - EN,7,SHARED,3000,
THUMPS UP,02/29/2023,PICK UP AIRPORT,8,PRIVATE,1000,
WE GO,02/29/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,02/29/2023,EN - PPC,7,SHARED,3000,
WE GO,03/13/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/14/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/15/2023,EN - PORT BARTON,2,SHARED,1000,
THUMPS UP,03/16/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/16/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,03/17/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/17/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/18/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/18/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,03/20/2023,EN - PPC,4,SHARED,2000,
WE GO,03/21/2023,PPC - EN,2,SHARED,1000,
MILAN,03/22/2023,PPC - EN,4,SHARED,2000,
MILAN,03/22/2023,PPC - EN,5,SHARED,2500,
MILAN,03/27/2023,PPC - EN,4,SHARED,2000,
MILAN,04/16/2023,EN - PPC,9,PRIVATE,5000,
MILAN,04/18/2023,EN - PPC,2,SHARED,1000,
MILAN,04/22/2023,PPC - EN,7,PRIVATE,5000,
MILAN,04/25/2023,PPC - EN,2,SHARED,1000,
MILAN,04/28/2023,PPC - EN,4,SHARED,2000,
MILAN,04/30/2023,EN - PPC,7,SHARED,3000,
MILAN,05/13/2023,EN - PPC,6,SHARED,3000,
MILAN,05/13/2023,EN - PPC,4,SHARED,2000,
MILAN,05/13/2023,PPC - EN,4,SHARED,2000,
MILAN,05/13/2023,PPC - EN,6,SHARED,3000,
MILAN,05/14/2023,PPC - EN,2,SHARED,1000,
MILAN,05/14/2023,EN - PPC,6,SHARED,2500,
MILAN,05/14/2023,EN - PPC,5,SHARED,2500,
MILAN,05/14/2023,EN - PPC,5,SHARED,2500,
MILAN,05/15/2023,PPC - EN,7,SHARED,1500,
MILAN,05/16/2023,EN - PPC,8,PRIVATE,5000,
MILAN,05/16/2023,EN - PPC,4,SHARED,2000,
MILAN,05/16/2023,EN - PPC,2,SHARED,1000,
MILAN,05/18/20223,PPC - EN,20,PRIVATE,10000,
MILAN,05/18/2023,PPC - EN,5,SHARED,2500,
MILAN,05/19/2023,PPC - EN,6,SHARED,3000,
MILAN,05/20/2023,EN - PPC,4,SHARED,2000,
MILAN,05/20/2023,EN - PPC,4,SHARED,2000,
MILAN,05/21/2023,EN - PPC,2,SHARED,1000,
MILAN,05/21/2023,PPC - EN,9,SHARED,4500,
MILAN,05/21/2023,PPC - EN,5,SHARED,2500,
MILAN,05/22/2023,EN - PPC,6,SHARED,3000,
MILAN,05/24/2023,EN - PPC,7,SHARED,2000,
MILAN,05/24/2023,PPC - EN,2,SHARED,1000,
MILAN,05/25/2023,INLAND TOUR,6,PRIVATE,4000,
MILAN,05/26/2023,EN - PPC,6,SHARED,3000,
THUMPS UP,05/26/2023,PPC - EN,8,SHARED,3500,
MILAN,05/28/2023,PPC - EN,2,SHARED,1000,
MILAN,05/29/2023,PPC - EN,2,SHARED,1000,
MILAN,05/31/2023,PPC - EN,7,SHARED,2500,
MILAN,05/31/2023,EN - PPC,20,PRIVATE,10000,
MILAN,05/31/2023,EN - PPC,5,SHARED,2500,
MILAN,06/13/2023,PPC - EN,13,PRIVATE,5000,
MILAN,06/13/2023,PPC - EN,9,SHARED,4500,
MILAN,06/13/2023,EN - PPC,9,SHARED,4500,
MILAN,06/14/2023,EN - PPC,2,SHARED,1000,
MILAN,06/15/2023,EN - PPC,5,SHARED,2500,
MILAN,06/18/2023,PPC - EN,5,SHARED,2500,
MILAN,06/20/2023,PICK UP AIRPORT,2,PRIVATE,1000,
MILAN,06/21/2023,EN - PPC,2,SHARED,1000,
MILAN,06/22/2023,EN - PPC,6,SHARED,2500,
MILAN,06/22/2023,EN - PPC,2,SHARED,1000,
MILAN,06/23/2023\,PPC - EN,13,PRIVATE,5000,
MILAN,06/24/2023,PPC - EN,12,PRIVATE,5000,
MILAN,06/24/2023,PPC - EN,2,SHARED,1000,
MILAN,06/26/2023,DROP OFF AIRPORT,5,PRIVATE,1000,
MILAN,06/26/2023,INLAND TOUR,13,PRIVATE,4000,
MILAN,06/26/2023,EN - PPC,2,SHARED,1000,
MILAN,06/27/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
MILAN,06/28/2023,EN - PPC,13,PRIVATE,5000,
MILAN,06/29/2023,EN - PPC,1,SHARED,500,
MILAN,06/29/2023,EN - PPC,9,SHARED,4500,
MILAN,06/29/2023,PPC - EN,7,PRIVATE,5000,
MILAN,06/30/2023,PPC - EN,2,SHARED,1000,
MILAN,07/13/2023,PPC - EN,6,SHARED,3000,
MILAN,07/13/2023,PPC - EN,7,SHARED,3500,
MILAN,07/13/2023,EN - PPC,5,SHARED,2500,
MILAN,07/13/2023,PPC - EN,12,PRIVATE,5000,
MILAN,07/13/2023,PPC - EN,5,SHARED,2500,
MILAN,07/14/2023,PPC - EN,6,SHARED,3000,
MILAN,07/14/2023,PPC - EN,5,SHARED,2500,
MILAN,07/14/2023,EN - PPC,13,PRIVATE,5000,
MILAN,07/14/2023,EN - PPC,2,SHARED,1000,
MILAN,07/14/2023,PPC - EN,12,PRIVATE,5000,
MILAN,07/14/2023,PPC - EN,5,SHARED,2500,
MILAN,07/15/2023,PPC - EN,5,SHARED,2500,
MILAN,07/15/2023,PPC - EN,5,SHARED,2500,
MILAN,07/15/2023,PPC - EN,2,SHARED,1000,
MILAN,07/15/2023,PPC - EN,2,SHARED,1000,
MILAN,07/15/2023,PPC - EN,3,SHARED,1500,
MILAN,07/15/2023,PPC - EN,4,SHARED,2000,
MILAN,07/16/2023,PPC - EN,2,SHARED,1000,
MILAN,07/16/2023,EN - PPC,17,PRIVATE,10000,
MILAN,07/16/2023,EN - PPC,6,SHARED,3000,
MILAN,07/16/2023,EN - PPC,7,SHARED,3500,
MILAN,07/18/2023,EN - PPC,7,SHARED,3500,
MILAN,07/18/2023,PPC - EN,12,PRIVATE,5000,
MILAN,07/18/2023,PPC - EN,7,SHARED,3500,
MILAN,07/18/2023,PPC - EN,2,SHARED,1000,
MILAN,07/18/2023,PPC - EN,2,SHARED,1000,
MILAN,07/18/2023,DROP OFF AIRPORT,9,PRIVATE,1000,
MILAN,07/19/2023,DROP OFF AIRPORT,8,PRIVATE,1000,
MILAN,07/19/2023,EN - PPC,4,SHARED,2000,
MILAN,07/19/2023,EN - PPC,2,SHARED,1000,
MILAN,07/19/2023,EN - PPC,6,SHARED,3000,
MILAN,07/20/2023,EN - PPC,5,SHARED,2500,
MILAN,07/20/2023,EN - PPC,2,SHARED,1000,
MILAN,07/20/2023,EN - PPC,5,SHARED,2500,
MILAN,07/20/2023,PPC - EN,2,SHARED,1000,
MILAN,07/21/2023,PPC - EN,5,SHARED,2500,
MILAN,07/21/2023,PPC - EN,4,SHARED,2000,
MILAN,07/21/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
MILAN,07/21/2023,EN - PPC,2,SHARED,1000,
MILAN,07/21/2023,EN - PPC,2,SHARED,1000,
MILAN,07/22/2023,EN - PPC,3,SHARED,1500,
MILAN,07/22/2023,EN - PPC,5,SHARED,2500,
MILAN,07/22/2023,PPC - EN,7,PRIVATE,5000,
MILAN,07/22/2023,PPC - EN,11,PRIVATE,5000,
MILAN,07/22/2023,PPC - EN,2,SHARED,1000,
MILAN,07/23/2023,PPC - EN,6,SHARED,3000,
MILAN,07/23/2023,PPC - EN,5,SHARED,2500,
MILAN,07/23/2023,EN - PPC,4,SHARED,2000,
MILAN,07/23/2023,EN - PPC,1,SHARED,500,
MILAN,07/23/2023,PPC - EN,7,SHARED,3000,
MILAN,07/24/2023,PPC - EN,2,SHARED,1000,
MILAN,07/24/2023,PPC - EN,2,SHARED,1000,
MILAN,07/24/2023,EN - PPC,10,PRIVATE,5000,
MILAN,07/24/2023,EN - PPC,4,SHARED,2000,
MILAN,07/24/2023,EN - PPC,1,SHARED,500,
MILAN,07/24/2023,PPC - EN,10,PRIVATE,5000,
MILAN,07/25/2023,PPC - EN,4,SHARED,2000,
MILAN,07/25/2023,PPC - EN,7,SHARED,3500,
MILAN,07/25/2023,EN - PPC,2,SHARED,1000,
MILAN,07/25/2023,PPC - EN,5,SHARED,2500,
MILAN,07/26/2023,PPC - EN,3,SHARED,1500,
MILAN,07/26/2023,EN - PPC,11,PRIVATE,5000,
MILAN,07/26/2023,EN - PPC,6,SHARED,3000,
MILAN,07/26/2023,EN - PPC,5,SHARED,2500,
MILAN,07/26/2023,EN - PPC,2,SHARED,1000,
MILAN,07/27/2023,EN - PPC,7,SHARED,3500,
MILAN,07/27/2023,PPC - EN,2,SHARED,1000,
MILAN,07/27/2023,PPC - EN,2,SHARED,1000,
MILAN,07/27/2023,PICK UP AIRPORT,2,PRIVATE,1000,
MILAN,07/27/2023,EN - PPC,10,PRIVATE,5000,
MILAN,07/27/2023,EN - PPC,7,SHARED,3000,
MILAN,07/28/2023,EN - PPC,7,SHARED,3500,
MILAN,07/28/2023,EN - PPC,2,SHARED,1000,
MILAN,07/28/2023,EN - PPC,4,SHARED,2000,
WE GO,07/28/2023,PPC - EN,3,SHARED,1500,
MILAN,07/28/2023,PPC - EN,6,SHARED,3000,
MILAN,07/28/2023,PPC - EN,3,SHARED,1500,
MILAN,07/28/2023,PPC - EN,7,SHARED,3500,
MILAN,07/28/2023,PPC - EN,6,SHARED,3000,
MILAN,07/28/2023,EN - PPC,2,SHARED,1000,
MILAN,07/29/2023,EN - PPC,5,SHARED,2500,
MILAN,07/29/2023,EN - PPC,3,SHARED,1500,
MILAN,07/29/2023,PPC - EN,2,SHARED,1000,
MILAN,07/29/2023,PPC - EN,5,SHARED,2500,
MILAN,07/30/2023,PPC - EN,4,SHARED,2000,
