DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
02/01/2023,DROP ITI,5.31092437,4963.956044,1563.549439,VELLAGO
02/01/2023,PPC-EN,5.318487395,5188.461538,1562.925486,MILAN
02/01/2023,PPC-PRIVATE,5.32605042,5412.967033,1562.301533,JOSEPH
02/01/2023,PPC-JOINER,5.333613445,5637.472527,1561.67758,DA ROCK
02/01/2023,ITI,5.341176471,5861.978022,1561.053627,DA ROCK
02/01/2023,EN-PRIVATE,5.348739496,6086.483516,1560.429674,DA ROCK
02/01/2023,PPC-JOINER,5.356302521,6310.989011,1559.805721,ARMAN
02/01/2023,EN-JOINER,5.363865546,6535.494505,1559.181768,ARMAN
02/01/2023,EN-PBARTON,6+2,6760,1558.557815,MILAN
02/01/2023,EN-PPC,14.45454545,6984.505495,1557.933862, ST.JOHN
02/01/2023,PICK ITI,15.71678322,PRIVATE,1557.309909,CORAZON TRAVEL AND TOURS
02/01/2023,DROP ITI,16.97902098,PRIVATE,1556.685956,TARAWIS
02/01/2023,DROP ITI,18.24125874,PRIVATE,1556.062003,BAYVIEW
02/01/2023,MALIGAYA,19.5034965,1200,1555.43805,RONEL
02/01/2023,EN-PPC,20.76573427,1420,1554.814097,FRENDZ
02/01/2023,PPC-EN,22.02797203,1640,1554.190144,PASAKAY NI VINCENT
02/01/2023,PICK ITI,23.29020979,1860,1553.566191,VELLAGO
02/01/2023,LA CASA TERESA-MILAN,24.55244755,PRIVATE,1552.942238,MILAN
02/01/2023,TRANSFER,25.81468531,900,1552.318285,JOSEPH
02/01/2023,EN-JOINER,27.07692308,320,1551.694332,JOSEPH
02/01/2023,PPC-PRIVATE,28.33916084,-260,1551.070379,DA ROCK
02/01/2023,PPC-JOINER,3+2,-840,1550.446426,MILAN
02/01/2023,EN-PPC,3.733333333,-1420,1549.822473,ONE EL NIDO SUITE
02/01/2023,PPC-EN,3.775757576,PRIVATE,1549.19852,CORAZON TRAVEL AND TOURS
02/01/2023,MILAN,3.818181818,450,1548.574567,FHERL
02/01/2023,DROP ITI,3.860606061,PRIVATE,1547.950614,BAYVIEW
02/01/2023,DOUBLEGEM,3.903030303,475,1547.326661,FHERL TO ANSLEY
02/01/2023,EN-PPC,3.945454545,480,1546.702708,ROLANDO aka INSTEK
02/01/2023,EN-PPC,3.987878788,485,1546.078755,FRENDZ
